"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","group"
"1",1,"MLE",0.00404874031116897,0.0502188751194361,0.00252193541826152,0.0744013354218086,0.0744924615040266,"uniform"
"2",0.75,"MLE",0.00224316827995103,0.0444572215376559,0.00197644454684822,0.065688923747518,0.0646702877774777,"uniform"
"3",0.5,"MLE",0.00153120347837363,0.0416433888910486,0.00173417183833111,0.0591879020428171,0.0598344891351813,"uniform"
"4",0.25,"MLE",-0.000739619912012199,0.0376045901586367,0.00141410520099904,0.0564552734960542,0.0594449249468416,"uniform"
"5",0,"MLE",-0.00363094454619474,0.0373127407897342,0.00139224062524189,0.056485519296793,0.0574600900265675,"uniform"
"6",-0.25,"MLE",-0.000114560309506786,0.03852080232814,0.00148385221200364,0.0572933530136951,0.0564797381990158,"uniform"
"7",-0.5,"MLE",-0.000161372669130531,0.0403896060340877,0.00163132027558881,0.0607964213161196,0.0617559601401885,"uniform"
"8",-0.75,"MLE",-0.000833628631343255,0.0449907146608249,0.00202416440569177,0.0677277051383403,0.0656021315468445,"uniform"
"9",-1,"MLE",-0.0020852300194355,0.050544253511045,0.00255472156298878,0.0757051658640259,0.074148163949879,"uniform"
"10",1,"IPW",0.00380888896272409,0.0521741570792072,0.00272214266692578,0.0773733377182234,0.0772879775500508,"uniform"
"11",0.75,"IPW",0.0024361839696238,0.0464542754723095,0.00215799970965722,0.0675927563716919,0.0666036423217429,"uniform"
"12",0.5,"IPW",0.00134549982650482,0.041655484458566,0.00173517938547783,0.0601880131122188,0.0601220380566568,"uniform"
"13",0.25,"IPW",-0.00063754030282697,0.0375157974887311,0.00140743506121548,0.0567719685372884,0.0598418954530156,"uniform"
"14",0,"IPW",-0.00364090135171526,0.0379190905588766,0.00143785742881229,0.0565804908454065,0.0574899396753146,"uniform"
"15",-0.25,"IPW",-0.000114903898937214,0.0377004489087445,0.00142132384792086,0.0575362628293397,0.0570424534091321,"uniform"
"16",-0.5,"IPW",-0.000768961501809243,0.040330609247538,0.0016265580422776,0.0619915134250932,0.0627566136820353,"uniform"
"17",-0.75,"IPW",-0.00037869296138393,0.0456171191076632,0.00208092155568273,0.0699787749528694,0.0677361148380177,"uniform"
"18",-1,"IPW",-0.00150852206301137,0.0533175729615352,0.00284276358650863,0.0788681927608481,0.0764229778382684,"uniform"
