"","Beta","Type","Bias","RMSE","MSE","Estimates_se","Simulation_se","ratio","RMSE_scale"
"1",2,"MLE",-0.000142388711021342,0.0598635535236737,0.00358364504048174,0.0882805433103826,0.0888965651063119,"1:1",0.00133858975053631
"2",1.5,"MLE",0.00619685276454661,0.0440473213419273,0.001940166517399,0.0712631095143309,0.067549757019091,"1:1",0.000984928047473267
"3",1,"MLE",0.00457986460347579,0.0373258427708451,0.00139321853855385,0.0571476004616902,0.0577334291909378,"1:1",0.000834631217530789
"4",0.5,"MLE",0.00269216006549765,0.0312211738806994,0.000974761698488869,0.047701247723116,0.047524239828422,"1:1",0.000698126671345849
"5",0,"MLE",0.00110986405333192,0.0288618642011924,0.000833007205168071,0.0446427799787899,0.0444894697886014,"1:1",0.000645370903112339
"6",-0.5,"MLE",-5.85021480742109e-05,0.0312783179855082,0.000978333176002566,0.0480462607478175,0.0466608005617138,"1:1",0.000699404452374506
"7",-1,"MLE",-0.00375068506456964,0.0359472755035185,0.00129220661612586,0.0568967738874712,0.0555936846621893,"1:1",0.000803805516317803
"8",-1.5,"MLE",-0.00607796759079525,0.0418732370970776,0.00175336798498807,0.0700550553955824,0.067671578869944,"1:1",0.000936314045870314
"9",-2,"MLE",-0.0045587561164809,0.0530190455158573,0.00281101918741255,0.0880085693668193,0.0840887066404698,"1:1",0.00118554189875612
"10",2,"IPW",0.0010572459977765,0.0709963535389655,0.00504048221582978,0.104938776205835,0.103686423676277,"1:1",0.00158752672667735
"11",1.5,"IPW",0.00813494671424711,0.052929291496445,0.00280150989831564,0.082604867650458,0.0774649922510957,"1:1",0.00118353493786953
"12",1,"IPW",0.00465935503062613,0.0422465525630029,0.00178477120345856,0.0637957113875282,0.0628005342915907,"1:1",0.000944661633458923
"13",0.5,"IPW",0.0035652193972332,0.0326085639143304,0.00106331844055497,0.0495809845755645,0.0495432393772992,"1:1",0.000729149655610895
"14",0,"IPW",0.00116329150034803,0.0293286147759068,0.000860167644673541,0.0445647501701649,0.0445611362256626,"1:1",0.000655807763248325
"15",-0.5,"IPW",-0.000327970689869166,0.0341561073011918,0.00116663966597052,0.0498859212515348,0.0487927877711575,"1:1",0.000763753777722416
"16",-1,"IPW",-0.00658454019189489,0.0397396193649156,0.00157923734726837,0.0630697905373888,0.0623861090597927,"1:1",0.000888604902999183
"17",-1.5,"IPW",-0.0087665748586411,0.0542541613446212,0.00294351402320819,0.0807023194326225,0.0803168792471546,"1:1",0.00121315992828814
"18",-2,"IPW",-0.0118256064185688,0.0673070825452198,0.00453024336074903,0.104190215437768,0.105932485850384,"1:1",0.00150503211938301
